stdTaskCd,stdRiskFactorSeq,stdRiskMeasureSeq,riskFactor,stdSafetyMeasure
T01187,7705,15191,천공기 리더연결 와이어 파단으로 인한 천공기 무너짐 위험,권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
T01187,7705,15192,천공기 리더연결 와이어 파단으로 인한 천공기 무너짐 위험,권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
T01187,7705,15193,천공기 리더연결 와이어 파단으로 인한 천공기 무너짐 위험,버팀의 방법 및 고정상태의 이상 유무
T01187,7705,15194,천공기 리더연결 와이어 파단으로 인한 천공기 무너짐 위험,본체 연결부의 풀림 또는 손상의 유무
T01187,7706,15195,천공기 붐대와 리더의 연결부 용접부 탈락으로 리더에 맞음 위험,권상기의 설치상태의 이상 유무
T01187,7706,15196,천공기 붐대와 리더의 연결부 용접부 탈락으로 리더에 맞음 위험,권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
T01187,7706,15197,천공기 붐대와 리더의 연결부 용접부 탈락으로 리더에 맞음 위험,권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
T01187,7706,15198,천공기 붐대와 리더의 연결부 용접부 탈락으로 리더에 맞음 위험,버팀의 방법 및 고정상태의 이상 유무
T01187,7706,15199,천공기 붐대와 리더의 연결부 용접부 탈락으로 리더에 맞음 위험,본체 연결부의 풀림 또는 손상의 유무
T01187,7707,15200,천공기 붐이 노후되어 파단으로 인한 근로자 맞음 위험,권상기의 설치상태의 이상 유무
T01187,7707,15201,천공기 붐이 노후되어 파단으로 인한 근로자 맞음 위험,권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
T01187,7707,15202,천공기 붐이 노후되어 파단으로 인한 근로자 맞음 위험,권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
T01187,7707,15203,천공기 붐이 노후되어 파단으로 인한 근로자 맞음 위험,버팀의 방법 및 고정상태의 이상 유무
T01187,7707,15204,천공기 붐이 노후되어 파단으로 인한 근로자 맞음 위험,본체 연결부의 풀림 또는 손상의 유무
T01187,7708,15205,천공기 스크류 잔토의 무너짐으로 인한 하부 작업자 맞음 위험,잔토 제거시 하부 근로자 출입통제
T01187,7708,15206,천공기 스크류 잔토의 무너짐으로 인한 하부 작업자 맞음 위험,천공기 스크류에 잔토 제거(장비자체 진동으로 제거)
T01187,7709,15207,천공기 하부 지반 침하로 인한 넘어짐 위험,갓길 붕괴 방지
T01187,7709,15208,천공기 하부 지반 침하로 인한 넘어짐 위험,도로 폭의 유지
T01187,7709,15209,천공기 하부 지반 침하로 인한 넘어짐 위험,유도자 배치
T01187,7709,15210,천공기 하부 지반 침하로 인한 넘어짐 위험,지반의 부동침하 방지
T01187,7710,15211,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,근로자 출입제한
T01187,7710,15212,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,유도자 배치
T01187,7711,15213,천공기 후면 또는 본체 회전중 위험지역 미설정으로 인한 후면부 부딪힘 위험,근로자 출입제한
T01187,7711,15214,천공기 후면 또는 본체 회전중 위험지역 미설정으로 인한 후면부 부딪힘 위험,유도자 배치
T01187,7712,15215,"항타기, 천공기, 굴삭기 운행중 유도자 미배치로 인한 주변 근로자 부딪힘 위험",근로자 출입제한
T01187,7712,15216,"항타기, 천공기, 굴삭기 운행중 유도자 미배치로 인한 주변 근로자 부딪힘 위험",유도자 배치
T01187,7713,15217,작업장소 인근 웅덩이 발생 및 무단방치로 인한 작업자 보행중 떨어짐 위험,안전지주 또는 안전블록 사용
T01187,7713,15218,작업장소 인근 웅덩이 발생 및 무단방치로 인한 작업자 보행중 떨어짐 위험,출입금지구역관리(안전지주 또는 안전블록 사용 시 예외)
T01187,7714,15219,"신호수, 작업자 장비 작업 중 주변 근로자 부딪힘 위험","보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01188,7715,15220,경사면에 적재된 파일이 굴러 떨어짐으로 인하여 작업자 깔림 위험,경사면 아래로 근로자 출입 제한
T01188,7715,15221,경사면에 적재된 파일이 굴러 떨어짐으로 인하여 작업자 깔림 위험,"구름멈춤대, 쐐기 등을 이용하여 중량물의 동요나 이동 조절"
T01188,7716,15222,파일 과적재로 인한 적재된 파일 무너짐 위험,불안정한 높이로 적재 금지
T01188,7716,15223,파일 과적재로 인한 적재된 파일 무너짐 위험,튼튼한 기반위에 적재
T01188,7716,15224,파일 과적재로 인한 적재된 파일 무너짐 위험,편하중이 생기지 않도록 할 것
T01188,7717,15225,항타 작업중 아웃트리거 미설치에 의한 깔림 위험,레일클램프(rail clamp) 및 쐐기 등으로 고정
T01188,7717,15226,항타 작업중 아웃트리거 미설치에 의한 깔림 위험,말뚝 또는 쐐기 등을 사용하여 각부나 가대 고정
T01188,7717,15227,항타 작업중 아웃트리거 미설치에 의한 깔림 위험,"버팀대는 3개 이상, 하단부분은 버팀 · 말뚝 또는 철골 등으로 고정"
T01188,7717,15228,항타 작업중 아웃트리거 미설치에 의한 깔림 위험,"버팀줄을 3개 이상, 같은 간격으로 배치"
T01188,7717,15229,항타 작업중 아웃트리거 미설치에 의한 깔림 위험,평형추의 이동 방지 위해 가대에 부착
T01188,7718,15230,항타 작업중 항타기 붐대가 부러지면서 항타기 리더에 깔림 위험,권상기의 설치상태의 이상 유무
T01188,7718,15231,항타 작업중 항타기 붐대가 부러지면서 항타기 리더에 깔림 위험,권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
T01188,7718,15232,항타 작업중 항타기 붐대가 부러지면서 항타기 리더에 깔림 위험,권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
T01188,7718,15233,항타 작업중 항타기 붐대가 부러지면서 항타기 리더에 깔림 위험,버팀의 방법 및 고정상태의 이상 유무
T01188,7718,15234,항타 작업중 항타기 붐대가 부러지면서 항타기 리더에 깔림 위험,본체 연결부의 풀림 또는 손상의 유무
T01188,7719,15235,항타기 붐대와 리더의 연결부 탈락에 의한 붐대에 깔림 위험,권상기의 설치상태의 이상 유무
T01188,7719,15236,항타기 붐대와 리더의 연결부 탈락에 의한 붐대에 깔림 위험,권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
T01188,7719,15237,항타기 붐대와 리더의 연결부 탈락에 의한 붐대에 깔림 위험,권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
T01188,7719,15238,항타기 붐대와 리더의 연결부 탈락에 의한 붐대에 깔림 위험,버팀의 방법 및 고정상태의 이상 유무
T01188,7719,15239,항타기 붐대와 리더의 연결부 탈락에 의한 붐대에 깔림 위험,본체 연결부의 풀림 또는 손상의 유무
T01188,7720,15240,해머를 인상시켜 놓고 하부에서 점검 중 해머의 떨어짐으로 인한 작업자 맞음 위험,안전지주 또는 안전블록 사용
T01188,7721,15241,해머의 타격강도가 과하여 파일 파손에 의한 파편에 맞음 위험,"해머의 항타고, 항타강도 적정 유지"
T01188,7722,15242,근로자가 안전모 등 개인보호구 미착용에 의한 부딪힘 위험,"보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01188,7723,15243,항타기 운행 또는 파일 항타중 지반 침하에 의한 부딪힘 위험,갓길 붕괴 방지
T01188,7723,15244,항타기 운행 또는 파일 항타중 지반 침하에 의한 부딪힘 위험,도로 폭의 유지
T01188,7723,15245,항타기 운행 또는 파일 항타중 지반 침하에 의한 부딪힘 위험,유도자 배치
T01188,7723,15246,항타기 운행 또는 파일 항타중 지반 침하에 의한 부딪힘 위험,지반의 부동침하 방지
T01188,7724,15247,항타기 작업유도자 미배치로 이한 주변작업자 파일 및 항타장비에 부딪힘 위험,근로자 출입제한
T01188,7724,15248,항타기 작업유도자 미배치로 이한 주변작업자 파일 및 항타장비에 부딪힘 위험,유도자 배치
T01188,7725,15249,항타기 작업유도자 미배치로 이한 주변작업자 파일 및 항타장비에 부딪힘 위험,"보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01188,7726,15250,항타기 회전중 위험지역 미설정으로 인하여 후면부에 작업자 부딪힘 위험,근로자 출입제한
T01188,7726,15251,항타기 회전중 위험지역 미설정으로 인하여 후면부에 작업자 부딪힘 위험,유도자 배치
T01188,7727,15252,항타기 해머 수리 작업시 안전장치 미착용으로 인한 떨어짐 위험,안전지주 또는 안전블록 사용상황 점검
T01188,7727,15253,항타기 해머 수리 작업시 안전장치 미착용으로 인한 떨어짐 위험,작업순서 결정 및 지휘
T01188,7727,15254,항타기 해머 수리 작업시 안전장치 미착용으로 인한 떨어짐 위험,작업지휘자 지정
T01188,7728,15255,항타기 해머 수리 작업시 안전장치 미착용으로 인한 떨어짐 위험,높이 2m이상 안전대 부착설비 설치
T01188,7728,15256,항타기 해머 수리 작업시 안전장치 미착용으로 인한 떨어짐 위험,안전대 및 부속설비 이상 유무 작업 전 점검
T01188,7729,15257,파일 항타중 파일 파괴에 의한 파일 파편에 근로자 노출 위험,근로자 출입제한
T01188,7729,15258,파일 항타중 파일 파괴에 의한 파일 파편에 근로자 노출 위험,유도자 배치
T01189,7730,15259,작업자 이동중 파일커팅부 상부에 넘어짐으로 인한 철근에 찔림 위험,돌출된 철근에 찔림방지시설 설치(캡 설치)
T01189,7731,15260,장비 이동 및 작업중 지반 침하로 장비 뒤집힘 위험,갓길 붕괴 방지
T01189,7731,15261,장비 이동 및 작업중 지반 침하로 장비 뒤집힘 위험,도로 폭의 유지
T01189,7731,15262,장비 이동 및 작업중 지반 침하로 장비 뒤집힘 위험,유도자 배치
T01189,7731,15263,장비 이동 및 작업중 지반 침하로 장비 뒤집힘 위험,지반의 부동침하 방지
T01189,7732,15264,절단되어 넘어가는 파일에 의한 깔림 위험,근로자 출입제한
T01189,7732,15265,절단되어 넘어가는 파일에 의한 깔림 위험,유도자 배치
T01189,7733,15266,파일 커터장비 붐대 연결부 파손에 의한 붐대에 맞음 위험,권상기의 설치상태의 이상 유무
T01189,7733,15267,파일 커터장비 붐대 연결부 파손에 의한 붐대에 맞음 위험,권상용 와이어로프 · 드럼 및 도르래의 부착상태의 이상 유무
T01189,7733,15268,파일 커터장비 붐대 연결부 파손에 의한 붐대에 맞음 위험,권상장치의 브레이크 및 쐐기장치 기능의 이상 유무
T01189,7733,15269,파일 커터장비 붐대 연결부 파손에 의한 붐대에 맞음 위험,버팀의 방법 및 고정상태의 이상 유무
T01189,7733,15270,파일 커터장비 붐대 연결부 파손에 의한 붐대에 맞음 위험,본체 연결부의 풀림 또는 손상의 유무
T01189,7734,15271,"작업중 근로자의 머리 등 신체부위가 보호구 미착용으로 인하여 파일, 장비 등에 부딪힘 위험","보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01189,7735,15272,파일 커팅 작업중 운전미숙에 의해 주변 근로자 부딪힘 위험,"근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치"
T01189,7735,15273,파일 커팅 작업중 운전미숙에 의해 주변 근로자 부딪힘 위험,일정한 신호방법 및 신호자 지정
T01189,7736,15274,작업장소 주변 웅덩이 또는 굴착단부로 근로자 떨어짐 위험,안전지주 또는 안전블록 사용
T01189,7736,15275,작업장소 주변 웅덩이 또는 굴착단부로 근로자 떨어짐 위험,출입금지구역관리(안전지주 또는 안전블록 사용 시 예외)
T01189,7737,15276,파일 커터장비로 콘크리트 파일커팅 작업중 파일 파편에 근로자 노출 위험,"보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01189,7738,15277,파일 커터장비로 콘크리트 파일커팅 작업중 파일 파편에 근로자 노출 위험,파일 커터 장비 헤드커버 설치(철망 등 비래물에 의한 방호조치)
T01189,7739,15278,"파일 커터장비 운행, 회전중 위험지역 미설정으로 인한 주변 근로자와 부딪힘 위험",근로자 출입제한
T01189,7739,15279,"파일 커터장비 운행, 회전중 위험지역 미설정으로 인한 주변 근로자와 부딪힘 위험",유도자 배치
T01190,7740,15280,개인보호구 미착용 상태에서 장비에 신체 부위 맞음 위험,"보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01190,7741,15281,굴삭기 등 장비를 운반트럭에서 하역시 장비 뒤집힘으로 인한 근로자 깔림 위험,마대 · 가설대 사용 시 충분한 폭 및 강도와 적당한 경사 확보
T01190,7741,15282,굴삭기 등 장비를 운반트럭에서 하역시 장비 뒤집힘으로 인한 근로자 깔림 위험,발판 사용 시 견고하게 설치
T01190,7741,15283,굴삭기 등 장비를 운반트럭에서 하역시 장비 뒤집힘으로 인한 근로자 깔림 위험,평탄하고 견고한 장소에서 작업
T01190,7742,15284,바퀴 하부 구름방지용 쐐기 미설치로 인한 근로자 깔림 위험,경사면 아래로 근로자 출입 제한
T01190,7742,15285,바퀴 하부 구름방지용 쐐기 미설치로 인한 근로자 깔림 위험,"구름멈춤대, 쐐기 등을 이용하여 중량물의 동요나 이동 조절"
T01190,7743,15286,운반트럭에 설치된 경사로 탈락에 의해 하역중 장비 무너짐 위험,가설대 사용 시 충분한 폭 및 강도와 적당한 경사 확보
T01190,7743,15287,운반트럭에 설치된 경사로 탈락에 의해 하역중 장비 무너짐 위험,지정운전자 성명 · 연락처 표시
T01190,7743,15288,운반트럭에 설치된 경사로 탈락에 의해 하역중 장비 무너짐 위험,지정운전자 외 운전 금지
T01190,7743,15289,운반트럭에 설치된 경사로 탈락에 의해 하역중 장비 무너짐 위험,충분한 길이 · 폭 및 강도를 가진 발판 사용
T01190,7743,15290,운반트럭에 설치된 경사로 탈락에 의해 하역중 장비 무너짐 위험,평탄하고 견고한 장소에서 작업
T01190,7744,15291,장비 반입시 부속품의 연결부 탈락으로 인한 맞음 위험,마대 · 가설대 사용 시 충분한 폭 및 강도와 적당한 경사 확보
T01190,7744,15292,장비 반입시 부속품의 연결부 탈락으로 인한 맞음 위험,발판 사용 시 견고하게 설치
T01190,7744,15293,장비 반입시 부속품의 연결부 탈락으로 인한 맞음 위험,평탄하고 견고한 장소에서 작업
T01190,7745,15294,하역 작업 근로자가 작업방법을 숙지하지 못하여 무리한 작업 진행중 깔림 위험,"근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치"
T01190,7745,15295,하역 작업 근로자가 작업방법을 숙지하지 못하여 무리한 작업 진행중 깔림 위험,일정한 신호방법 및 신호자 지정
T01190,7746,15296,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,"운전원 자격여부, 운전경력 파악"
T01190,7746,15297,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,작업전 특별교육 실시
T01190,7747,15298,"굴삭기 장비의 후면부에 위험표지, 경광등 미부착으로 인한 부딪힘 위험",차량계 건설기계 전조등 설치
T01191,7748,15299,과굴착에 의한 법면 무너짐 위험,굴착면의 기울기 별표11 참조
T01191,7749,15300,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,"근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치"
T01191,7749,15301,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,일정한 신호방법 및 신호자 지정
T01191,7750,15302,굴착법면의 굴착구배 미준수에 의해 법면 무너짐 위험,굴착면의 기울기 별표11 참조
T01191,7751,15303,근로자가 안전모 등 개인보호구 미착용에 의한 맞음 위험,"보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01191,7752,15304,"법면, 토질이나 지층 상태 점검소홀에 따른 무너짐 위험","관리감독자 작업 시작 전 작업장소 및 주변의 부석 · 균열유무, 함수 · 용수 및 동결상태 변화 점검"
T01191,7753,15305,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,"운전원 자격여부, 운전경력 파악"
T01191,7753,15306,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,작업전 특별교육 실시
T01191,7754,15307,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,근로자 출입제한
T01191,7754,15308,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,유도자 배치
T01191,7755,15309,흙막이 상부 지상에서 작업으로 인한 굴착면 단부로 떨어짐 위험,안전방망 설치(근로자 안전대 착용)
T01191,7755,15310,흙막이 상부 지상에서 작업으로 인한 굴착면 단부로 떨어짐 위험,작업발판 설치
T01191,7756,15311,흙막이 상부 지상에서 작업으로 인한 굴착면 단부로 떨어짐 위험,높이 2m이상 안전대 부착설비 설치
T01191,7756,15312,흙막이 상부 지상에서 작업으로 인한 굴착면 단부로 떨어짐 위험,안전대 및 부속설비 이상 유무 작업 전 점검
T01192,7757,15313,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,"근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치"
T01192,7757,15314,굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,일정한 신호방법 및 신호자 지정
T01192,7758,15315,근로자가 안전모 등 개인보호구 미착용에 의한 맞음 위험,"보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01192,7759,15316,버켓과 운반트럭에 토사 과적재에 의한 부석 등에 맞음 위험,작업구역 출입금지
T01192,7759,15317,버켓과 운반트럭에 토사 과적재에 의한 부석 등에 맞음 위험,작업지휘자 또는 유도자 유도에 따라 작업
T01192,7760,15318,토사 반출시 주변 법면 무너짐 위험,굴착면의 기울기 별표11 참조
T01192,7761,15319,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,"운전원 자격여부, 운전경력 파악"
T01192,7761,15320,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,작업전 특별교육 실시
T01192,7762,15321,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,근로자 출입제한
T01192,7762,15322,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,유도자 배치
T01192,7763,15323,굴착단부 주변에서 작업중 단부로 떨어짐 위험,안전방망 설치(근로자 안전대 착용)
T01192,7763,15324,굴착단부 주변에서 작업중 단부로 떨어짐 위험,작업발판 설치
T01192,7764,15325,굴착단부 주변에서 작업중 단부로 떨어짐 위험,높이 2m이상 안전대 부착설비 설치
T01192,7764,15326,굴착단부 주변에서 작업중 단부로 떨어짐 위험,안전대 및 부속설비 이상 유무 작업 전 점검
T01192,7765,15327,근로자가 무리하게 운반트럭 상부에 올라감으로 인한 떨어짐 위험,관리감독자 작업 지시
T01192,7766,15328,"세륜시설 조작중 누전차단기 미설치, 접지 미실시로 인한 감전 위험",감전방지용 누전차단기 설치
T01193,7767,15329,천공작업중 작업지휘자의 미지정으로 인한 천공 장비에 근로자 끼임 위험,"작업지휘자 지정, 작업 지휘"
T01193,7768,15330,노면 불규칙에 의한 천공기 뒤집힘으로 근로자 깔림 위험,갓길 붕괴 방지
T01193,7768,15331,노면 불규칙에 의한 천공기 뒤집힘으로 근로자 깔림 위험,도로 폭의 유지
T01193,7768,15332,노면 불규칙에 의한 천공기 뒤집힘으로 근로자 깔림 위험,유도자 배치
T01193,7768,15333,노면 불규칙에 의한 천공기 뒤집힘으로 근로자 깔림 위험,지반의 부동침하 방지
T01193,7769,15334,안전모 미착용에 의하여 암석에 맞음 위험,"보호구(안전모, 안전대, 안전화, 보안면, 절연용 보호구, 방열복, 방진마스크, 방한모·방한복·방한화·방한장갑) 지급 및 착용"
T01193,7770,15335,암사면 굴착구배 미준수에 의한 무너짐 위험,굴착면의 기울기 별표11 참조
T01193,7771,15336,"작업 시작전 작업장소 및 그 주변의 부석 균열의 유무, 하수·용수 및 동결상태의 변화 등에 대한 무너짐 위험","관리감독자 작업 시작 전 작업장소 및 주변의 부석 · 균열유무, 함수 · 용수 및 동결상태 변화 점검"
T01193,7772,15337,"작업전 부석, 동결 유무 미파악에 의한 무너짐 위험","관리감독자 작업 시작 전 작업장소 및 주변의 부석 · 균열유무, 함수 · 용수 및 동결상태 변화 점검"
T01193,7773,15338,천공 작업장소에 연약 지반으로 인한 무너짐 위험,굴착사면에 비닐 덮음
T01193,7773,15339,천공 작업장소에 연약 지반으로 인한 무너짐 위험,측구 설치
T01193,7774,15340,천공기 기계장치 연결부 탈락에 의한 맞음 위험,"근로자 배치 및 교육, 작업방법, 방호장치 등 미리 확인 후 위험방지 조치"
T01193,7774,15341,천공기 기계장치 연결부 탈락에 의한 맞음 위험,일정한 신호방법 및 신호자 지정
T01193,7775,15342,천공기 리더의 유압장치 고장에 의한 리더에 맞음 위험,안전지주 또는 안전블록 사용
T01193,7776,15343,"운반기계, 굴착기계 및 적재기계의 운행경로 및 토석의 적재 장소에 출입하는 장비에 근로자 부딪힘 위험",안전 통로 설치
T01193,7776,15344,"운반기계, 굴착기계 및 적재기계의 운행경로 및 토석의 적재 장소에 출입하는 장비에 근로자 부딪힘 위험",장애물 제거
T01193,7776,15345,"운반기계, 굴착기계 및 적재기계의 운행경로 및 토석의 적재 장소에 출입하는 장비에 근로자 부딪힘 위험",통로구획
T01193,7777,15346,천공작업중 안전장치 미설치로 인한 암사면 단부로 떨어짐 위험,안전방망 설치(근로자 안전대 착용)
T01193,7777,15347,천공작업중 안전장치 미설치로 인한 암사면 단부로 떨어짐 위험,작업발판 설치
T01194,7778,15348,발파시 비산석에 의한 맞음 위험,부석의 제거
T01194,7778,15349,발파시 비산석에 의한 맞음 위험,터널 지보공 및 록볼트의 설치
T01194,7779,15350,개인보호구 미착용에 의해 발파지반 단부로 떨어짐 위험,안전방망 설치(근로자 안전대 착용)
T01194,7779,15351,개인보호구 미착용에 의해 발파지반 단부로 떨어짐 위험,작업발판 설치
T01194,7780,15352,안전장치 미설치로 인한 주변 암사면 또는 암 발파 단부에 근로자 떨어짐 위험,안전방망 설치(근로자 안전대 착용)
T01194,7780,15353,안전장치 미설치로 인한 주변 암사면 또는 암 발파 단부에 근로자 떨어짐 위험,작업발판 설치
T01194,7781,15354,장약 작업중 누설 전류 발생으로 인한 감전 위험,작업전 전기기계기구 등에 의한 누설여부를 측정하고 사용
T01194,7782,15355,당일 사용하고 남은 잔류 화약관리 소홀에 의한 폭발 위험,화약고 보관
T01194,7783,15356,"발판공의 충진재료를 발화성, 인화성 재료 사용으로 인한 폭발 위험",발파작업 금지사항 준수
T01194,7784,15357,부적합한 장진구의 사용으로 장약 작업시 폭발 위험,발파작업 금지사항 준수
T01194,7785,15358,"장약 현장에서 뇌관류의 보관, 취급소홀에 의한 폭발 위험",발파작업 금지사항 준수
T01194,7786,15359,폭약과 뇌관을 동시에 두고 작업중 폭발 위험,발파작업 금지사항 준수
T01194,7787,15360,"화약, 폭약 주위에서 흡연으로 인한 폭발 위험",발파작업 금지사항 준수
