taskName,stdTaskCd,riskCate1Cd,riskCate1Name,riskCate2Cd,riskCate2Name,riskFactor,riskRelatedLaw,stdRiskFactorSeq
기초파일 천공,T01187,1,기계적 요인,6,추락위험 부분(개구부 등),작업장소 인근 웅덩이 발생 및 무단방치로 인한 작업자 보행중 떨어짐 위험,안전보건규칙 제20조 [출입의 금지 등],7713
기초파일 천공,T01187,6,작업환경 요인,4,주변 근로자,"신호수, 작업자 장비 작업 중 주변 근로자 부딪힘 위험",안전보건규칙 제32조 [보호구의 지급 등],7714
기초파일 항타,T01188,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",경사면에 적재된 파일이 굴러 떨어짐으로 인하여 작업자 깔림 위험,안전보건규칙 제386조 [경사면에서의 중량물 취급],7715
기초파일 항타,T01188,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",파일 과적재로 인한 적재된 파일 무너짐 위험,안전보건규칙 제393조 [화물의 적재],7716
기초파일 항타,T01188,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",항타 작업중 아웃트리거 미설치에 의한 깔림 위험,안전보건규칙 제209조 [도괴의 방지],7717
기초파일 항타,T01188,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",항타 작업중 항타기 붐대가 부러지면서 항타기 리더에 깔림 위험,안전보건규칙 제207조 [조립시 점검],7718
기초파일 항타,T01188,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",항타기 붐대와 리더의 연결부 탈락에 의한 붐대에 깔림 위험,안전보건규칙 제207조 [조립시 점검],7719
기초파일 항타,T01188,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",해머를 인상시켜 놓고 하부에서 점검 중 해머의 떨어짐으로 인한 작업자 맞음 위험,안전보건규칙 제205조 [붐 등의 강하에 의한 위험 방지],7720
기초파일 항타,T01188,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",해머의 타격강도가 과하여 파일 파손에 의한 파편에 맞음 위험,,7721
기초파일 항타,T01188,1,기계적 요인,4,충돌위험 부분,근로자가 안전모 등 개인보호구 미착용에 의한 부딪힘 위험,안전보건규칙 제32조 [보호구의 지급 등],7722
기초파일 항타,T01188,1,기계적 요인,4,충돌위험 부분,항타기 운행 또는 파일 항타중 지반 침하에 의한 부딪힘 위험,안전보건규칙 제199조 [전도 등의 방지],7723
기초파일 항타,T01188,1,기계적 요인,4,충돌위험 부분,항타기 작업유도자 미배치로 이한 주변작업자 파일 및 항타장비에 부딪힘 위험,안전보건규칙 제200조 [접촉 방지],7724
기초파일 항타,T01188,1,기계적 요인,4,충돌위험 부분,항타기 작업유도자 미배치로 이한 주변작업자 파일 및 항타장비에 부딪힘 위험,안전보건규칙 제32조 [보호구의 지급 등],7725
기초파일 항타,T01188,1,기계적 요인,4,충돌위험 부분,항타기 회전중 위험지역 미설정으로 인하여 후면부에 작업자 부딪힘 위험,안전보건규칙 제200조 [접촉 방지],7726
기초파일 항타,T01188,1,기계적 요인,6,추락위험 부분(개구부 등),항타기 해머 수리 작업시 안전장치 미착용으로 인한 떨어짐 위험,안전보건규칙 제206조 [수리 등의 작업시 조치],7727
기초파일 항타,T01188,1,기계적 요인,6,추락위험 부분(개구부 등),항타기 해머 수리 작업시 안전장치 미착용으로 인한 떨어짐 위험,안전보건규칙 제44조 [안전대의 부착설비 등],7728
기초파일 항타,T01188,3,화학(물질)적 요인,5,고체(분진),파일 항타중 파일 파괴에 의한 파일 파편에 근로자 노출 위험,안전보건규칙 제200조 [접촉 방지],7729
기초파일 두부정리,T01189,1,기계적 요인,2,"위험한 표면(절단, 베임, 긁힘)",작업자 이동중 파일커팅부 상부에 넘어짐으로 인한 철근에 찔림 위험,,7730
기초파일 두부정리,T01189,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",장비 이동 및 작업중 지반 침하로 장비 뒤집힘 위험,안전보건규칙 제199조 [전도 등의 방지],7731
기초파일 두부정리,T01189,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",절단되어 넘어가는 파일에 의한 깔림 위험,안전보건규칙 제200조 [접촉 방지],7732
기초파일 두부정리,T01189,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",파일 커터장비 붐대 연결부 파손에 의한 붐대에 맞음 위험,안전보건규칙 제207조 [조립시 점검],7733
기초파일 두부정리,T01189,1,기계적 요인,4,충돌위험 부분,"작업중 근로자의 머리 등 신체부위가 보호구 미착용으로 인하여 파일, 장비 등에 부딪힘 위험",안전보건규칙 제32조 [보호구의 지급 등],7734
기초파일 두부정리,T01189,1,기계적 요인,4,충돌위험 부분,파일 커팅 작업중 운전미숙에 의해 주변 근로자 부딪힘 위험,안전보건규칙 제89조 [운전 시작 전 조치],7735
기초파일 두부정리,T01189,1,기계적 요인,6,추락위험 부분(개구부 등),작업장소 주변 웅덩이 또는 굴착단부로 근로자 떨어짐 위험,안전보건규칙 제20조 [출입의 금지 등],7736
기초파일 두부정리,T01189,3,화학(물질)적 요인,5,고체(분진),파일 커터장비로 콘크리트 파일커팅 작업중 파일 파편에 근로자 노출 위험,안전보건규칙 제32조 [보호구의 지급 등],7737
기초파일 두부정리,T01189,3,화학(물질)적 요인,5,고체(분진),파일 커터장비로 콘크리트 파일커팅 작업중 파일 파편에 근로자 노출 위험,,7738
기초파일 두부정리,T01189,6,작업환경 요인,3,공간 및 이동통로,"파일 커터장비 운행, 회전중 위험지역 미설정으로 인한 주변 근로자와 부딪힘 위험",안전보건규칙 제200조 [접촉 방지],7739
굴착 장비반입,T01190,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",개인보호구 미착용 상태에서 장비에 신체 부위 맞음 위험,안전보건규칙 제32조 [보호구의 지급 등],7740
굴착 장비반입,T01190,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴삭기 등 장비를 운반트럭에서 하역시 장비 뒤집힘으로 인한 근로자 깔림 위험,안전보건규칙 제201조 [차량계 건설기계의 이송],7741
굴착 장비반입,T01190,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",바퀴 하부 구름방지용 쐐기 미설치로 인한 근로자 깔림 위험,안전보건규칙 제386조 [경사면에서의 중량물 취급],7742
굴착 장비반입,T01190,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",운반트럭에 설치된 경사로 탈락에 의해 하역중 장비 무너짐 위험,안전보건규칙 제174조 [차량계 하역 운반기계등의 이송],7743
굴착 장비반입,T01190,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",장비 반입시 부속품의 연결부 탈락으로 인한 맞음 위험,안전보건규칙 제201조 [차량계 건설기계의 이송],7744
굴착 장비반입,T01190,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",하역 작업 근로자가 작업방법을 숙지하지 못하여 무리한 작업 진행중 깔림 위험,안전보건규칙 제89조 [운전 시작 전 조치],7745
굴착 장비반입,T01190,1,기계적 요인,4,충돌위험 부분,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,,7746
굴착 장비반입,T01190,1,기계적 요인,4,충돌위험 부분,"굴삭기 장비의 후면부에 위험표지, 경광등 미부착으로 인한 부딪힘 위험",안전보건규칙 제197조 [전조등의 설치],7747
굴착,T01191,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",과굴착에 의한 법면 무너짐 위험,안전보건규칙 제338조 [지반 등의 굴착 시 위험 방지],7748
굴착,T01191,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,안전보건규칙 제89조 [운전 시작 전 조치],7749
굴착,T01191,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴착법면의 굴착구배 미준수에 의해 법면 무너짐 위험,안전보건규칙 제338조 [지반 등의 굴착 시 위험 방지],7750
굴착,T01191,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",근로자가 안전모 등 개인보호구 미착용에 의한 맞음 위험,안전보건규칙 제32조 [보호구의 지급 등],7751
굴착,T01191,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분","법면, 토질이나 지층 상태 점검소홀에 따른 무너짐 위험",안전보건규칙 제339조 [토석붕괴 위험 방지],7752
굴착,T01191,1,기계적 요인,4,충돌위험 부분,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,,7753
굴착,T01191,1,기계적 요인,4,충돌위험 부분,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,안전보건규칙 제200조 [접촉 방지],7754
굴착,T01191,1,기계적 요인,6,추락위험 부분(개구부 등),흙막이 상부 지상에서 작업으로 인한 굴착면 단부로 떨어짐 위험,안전보건규칙 제42조 [추락의 방지],7755
굴착,T01191,1,기계적 요인,6,추락위험 부분(개구부 등),흙막이 상부 지상에서 작업으로 인한 굴착면 단부로 떨어짐 위험,안전보건규칙 제44조 [안전대의 부착설비 등],7756
굴착 토사반출,T01192,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",굴삭기 버켓 연결부 탈락에 의한 버켓에 근로자 맞음 위험,안전보건규칙 제89조 [운전 시작 전 조치],7757
굴착 토사반출,T01192,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",근로자가 안전모 등 개인보호구 미착용에 의한 맞음 위험,안전보건규칙 제32조 [보호구의 지급 등],7758
굴착 토사반출,T01192,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",버켓과 운반트럭에 토사 과적재에 의한 부석 등에 맞음 위험,안전보건규칙 제173조 [화물적재 시의 조치],7759
굴착 토사반출,T01192,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",토사 반출시 주변 법면 무너짐 위험,안전보건규칙 제338조 [지반 등의 굴착 시 위험 방지],7760
굴착 토사반출,T01192,1,기계적 요인,4,충돌위험 부분,굴삭기 운전원의 운전미숙으로 인한 부딪힘 위험,,7761
굴착 토사반출,T01192,1,기계적 요인,4,충돌위험 부분,굴삭기 운행 및 굴삭 작업시 유도자 미배치로 인한 주변 근로자와 부딪힘 위험,안전보건규칙 제200조 [접촉 방지],7762
굴착 토사반출,T01192,1,기계적 요인,6,추락위험 부분(개구부 등),굴착단부 주변에서 작업중 단부로 떨어짐 위험,안전보건규칙 제42조 [추락의 방지],7763
굴착 토사반출,T01192,1,기계적 요인,6,추락위험 부분(개구부 등),굴착단부 주변에서 작업중 단부로 떨어짐 위험,안전보건규칙 제44조 [안전대의 부착설비 등],7764
굴착 토사반출,T01192,1,기계적 요인,6,추락위험 부분(개구부 등),근로자가 무리하게 운반트럭 상부에 올라감으로 인한 떨어짐 위험,,7765
굴착 토사반출,T01192,2,전기적 요인,1,감전(안전전압초과),"세륜시설 조작중 누전차단기 미설치, 접지 미실시로 인한 감전 위험",안전보건규칙 제304조 [누전차단기에 의한 감전방지],7766
발파 천공,T01193,1,기계적 요인,1,"협착위험 부분(감김,끼임)",천공작업중 작업지휘자의 미지정으로 인한 천공 장비에 근로자 끼임 위험,안전보건규칙 제39조 [작업지휘자의 지정],7767
발파 천공,T01193,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",노면 불규칙에 의한 천공기 뒤집힘으로 근로자 깔림 위험,안전보건규칙 제199조 [전도 등의 방지],7768
발파 천공,T01193,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",안전모 미착용에 의하여 암석에 맞음 위험,안전보건규칙 제32조 [보호구의 지급 등],7769
발파 천공,T01193,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",암사면 굴착구배 미준수에 의한 무너짐 위험,안전보건규칙 제338조 [지반 등의 굴착 시 위험 방지],7770
발파 천공,T01193,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분","작업 시작전 작업장소 및 그 주변의 부석 균열의 유무, 하수·용수 및 동결상태의 변화 등에 대한 무너짐 위험",안전보건규칙 제339조 [토석붕괴 위험 방지],7771
발파 천공,T01193,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분","작업전 부석, 동결 유무 미파악에 의한 무너짐 위험",안전보건규칙 제339조 [토석붕괴 위험 방지],7772
발파 천공,T01193,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공 작업장소에 연약 지반으로 인한 무너짐 위험,안전보건규칙 제340조 [지반의 붕괴 등에 의한 위험방지],7773
발파 천공,T01193,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공기 기계장치 연결부 탈락에 의한 맞음 위험,안전보건규칙 제89조 [운전 시작 전 조치],7774
발파 천공,T01193,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",천공기 리더의 유압장치 고장에 의한 리더에 맞음 위험,안전보건규칙 제205조 [붐 등의 강하에 의한 위험 방지],7775
발파 천공,T01193,1,기계적 요인,4,충돌위험 부분,"운반기계, 굴착기계 및 적재기계의 운행경로 및 토석의 적재 장소에 출입하는 장비에 근로자 부딪힘 위험",안전보건규칙 제22조 [통로의 설치],7776
발파 천공,T01193,1,기계적 요인,6,추락위험 부분(개구부 등),천공작업중 안전장치 미설치로 인한 암사면 단부로 떨어짐 위험,안전보건규칙 제42조 [추락의 방지],7777
발파 장약,T01194,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",발파시 비산석에 의한 맞음 위험,안전보건규칙 제351조 [낙반 등에 의한 위험의 방지],7778
발파 장약,T01194,1,기계적 요인,6,추락위험 부분(개구부 등),개인보호구 미착용에 의해 발파지반 단부로 떨어짐 위험,안전보건규칙 제42조 [추락의 방지],7779
발파 장약,T01194,1,기계적 요인,6,추락위험 부분(개구부 등),안전장치 미설치로 인한 주변 암사면 또는 암 발파 단부에 근로자 떨어짐 위험,안전보건규칙 제42조 [추락의 방지],7780
발파 장약,T01194,2,전기적 요인,1,감전(안전전압초과),장약 작업중 누설 전류 발생으로 인한 감전 위험,,7781
발파 장약,T01194,3,화학(물질)적 요인,8,화재 / 폭발 위험,당일 사용하고 남은 잔류 화약관리 소홀에 의한 폭발 위험,,7782
발파 장약,T01194,3,화학(물질)적 요인,8,화재 / 폭발 위험,"발판공의 충진재료를 발화성, 인화성 재료 사용으로 인한 폭발 위험",안전보건규칙 제348조 [발파의 작업기준],7783
발파 장약,T01194,3,화학(물질)적 요인,8,화재 / 폭발 위험,부적합한 장진구의 사용으로 장약 작업시 폭발 위험,안전보건규칙 제348조 [발파의 작업기준],7784
발파 장약,T01194,3,화학(물질)적 요인,8,화재 / 폭발 위험,"장약 현장에서 뇌관류의 보관, 취급소홀에 의한 폭발 위험",안전보건규칙 제348조 [발파의 작업기준],7785
발파 장약,T01194,3,화학(물질)적 요인,8,화재 / 폭발 위험,폭약과 뇌관을 동시에 두고 작업중 폭발 위험,안전보건규칙 제348조 [발파의 작업기준],7786
발파 장약,T01194,3,화학(물질)적 요인,8,화재 / 폭발 위험,"화약, 폭약 주위에서 흡연으로 인한 폭발 위험",안전보건규칙 제348조 [발파의 작업기준],7787
발파 장약,T01194,6,작업환경 요인,1,기후 / 고온 / 한랭,작업중 벼락 발생으로 인한 안전사고 위험,안전보건규칙 제349조 [작업중지 및 피난],7788
발파 장약,T01194,6,작업환경 요인,6,조직 안전문화,화약류 관리보안 책임자 업무 소홀로 인한 화약류 도난 위험,,7789
자재반입,T01198,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM 등 자재 인양시 이동식크레인 붐이 꺾임으로 인하여 자재에 맞음 위험,안전보건규칙 제89조 [운전 시작 전 조치],7820
자재반입,T01198,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM을 1줄걸이로 인양하다가 갑작스런 흔들림에 근로자 맞음 위험,,7821
자재반입,T01198,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식크레인 운전원의 운전미숙으로 주변 근로자가 인양 자재에 맞음 위험,안전보건규칙 제89조 [운전 시작 전 조치],7822
자재반입,T01198,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식크레인 인양 작업중 지반부등 침하에 의한 크레인 뒤집힘 으로 근로자 깔림 위험,,7823
자재반입,T01198,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식크레인 후크에서 해지장치 미설치로 인한 와이어로프 탈락 및 자재에 맞음 위험,안전보건규칙 제149조 [해지장치의 사용],7824
자재반입,T01198,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",자재 받침대 파손에 의해 적재된 자재 무너짐 위험,,7825
자재반입,T01198,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분","자재인양, 하역 작업시 아웃트리거 미사용으로 장비 뒤집힘으로 근로자 깔림 위험",,7826
자재반입,T01198,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분","크레인에 과부하, 권과방지장치 미설치 및 고장으로 자재에 맞음 위험",안전보건규칙 제134조 [방호장치의 조정],7827
자재반입,T01198,1,기계적 요인,4,충돌위험 부분,아웃트리거 하부 받침대 탈락 또는 부러지면서 충격으로 자재 요동에 의한 근로자 부딪힘 위험,,7828
자재반입,T01198,1,기계적 요인,4,충돌위험 부분,이동식크레인 회전중 신호수 미배치로 인한 크레인 후면부에 근로자 부딪힘 위험,안전보건규칙 제89조 [운전 시작 전 조치],7829
자재반입,T01198,1,기계적 요인,4,충돌위험 부분,"작업시 신호수 미배치로 자재인양, 크레인 회전중 근로자 부딪힘 위험",안전보건규칙 제89조 [운전 시작 전 조치],7830
자재반입,T01198,6,작업환경 요인,6,조직 안전문화,근로자의 개인보호구 미착용에 의해 부딪히거나 떨어짐 위험,안전보건규칙 제32조 [보호구의 지급 등],7831
흙막이 지보공 설치,T01199,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM 교차부에 볼트가 누락 시공되어 구조적 취약해 무너짐 위험,,7832
흙막이 지보공 설치,T01199,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM을 1줄걸이로 인양하다가 갑작스런 흔들림에 근로자 맞음 위험,,7833
흙막이 지보공 설치,T01199,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식 크레인 후크 해지장치 미설치에 따라 자재 인양중 와이어로프 탈락으로 인해 근로자 자재에 맞음 위험,안전보건규칙 제149조 [해지장치의 사용],7834
흙막이 지보공 설치,T01199,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식크레인을 흙막이 상부에 근접거치하여 흙막이 무너짐 위험,,7835
흙막이 지보공 설치,T01199,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",흙막이 시공시 설계도서와 상이하게 시공하여 내력 강도에 의한 무너짐 위험,안전보건규칙 제346조 [조립도],7836
흙막이 지보공 설치,T01199,1,기계적 요인,6,추락위험 부분(개구부 등),"H-BEAM 상에서 안전대를 로프에 체결하지 않고 용접, 볼트, 작업중 떨어짐 위험",안전보건규칙 제44조 [안전대의 부착설비 등],7837
흙막이 지보공 설치,T01199,1,기계적 요인,6,추락위험 부분(개구부 등),관리감독자 없이 근로자 단독으로 무리하게 작업중 떨어짐 위험,안전보건규칙 제35조 [관리감독자의 유해ㆍ위험 방지 업무 등] ,7838
흙막이 지보공 설치,T01199,1,기계적 요인,6,추락위험 부분(개구부 등),흙막이 버팀대상에 안전대 걸이용 로프 미설치로 인한 떨어짐 위험,,7839
흙막이 지보공 설치,T01199,2,전기적 요인,1,감전(안전전압초과),용접봉 홀더에 절연체 파손으로 용접작업자 감전 위험,안전보건규칙 제306조 [용접봉의 홀더],7840
흙막이 지보공 설치,T01199,5,작업특성 요인,10,작업(조작)도구,흙막이 버팀보 상에 적재된 자재 공구 등에 맞음 위험,,7841
흙막이 지보공 설치,T01199,6,작업환경 요인,6,조직 안전문화,개인보호구 미착용 상태에서 작업중 H-BEAM 등에 근로자 부딪힘 위험,안전보건규칙 제32조 [보호구의 지급 등],7842
흙막이 지보공 해체,T01200,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM 인양중 와이어로프 절단에 의한 맞음 위험,안전보건규칙 제89조 [운전 시작 전 조치],7843
흙막이 지보공 해체,T01200,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM 적재시 하부 받침대 불량으로 부재 무너짐 위험,,7844
흙막이 지보공 해체,T01200,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",H-BEAM을 1줄걸이로 인양하다가 갑작스런 흔들림에 근로자 맞음 위험,,7845
흙막이 지보공 해체,T01200,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",와이어로프 후크에 해지장치 미설치로 자재 인양중 와이어로프 탈락으로 인하여 자재에 맞음 위험,,7846
흙막이 지보공 해체,T01200,1,기계적 요인,3,"기계(설비) 의 낙하, 비래, 전복, 붕괴, 전도위험 부분",이동식크레인 운전원의 운전미숙으로 주변 근로자가 인양 자재에 맞음 위험,안전보건규칙 제169조 [꼬임이 끊어진 섬유로프 등의 사용금지],7847
